nombre,descripcion,sentido,unidad_medida,fecha_creacion,fecha_ult_modif,derecho_cdmx,ods,instrumento,frecuencia,dimension,fuente_inst,fuente,url_fuente,url_csv
comercio internacional neto de coyoacan,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:59:36.177814,2024-07-30 23:32:36.989010,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/coyoacan#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/47932313-adf0-4e3a-813b-982921e27348/resource/2f593062-5310-490e-a13e-5c9c09e4082b/download/historico-comercio-internacional-neto-coyoacan.csv
comercio internacional neto de cuajimalpa,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:59:25.301044,2024-07-30 23:32:37.531634,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/cuajimalpa-de-morelos#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/4ef0d294-9ecd-4d06-ad10-9beedeee7e83/resource/2f89eeb2-f65b-4da0-a392-8d69aa42ba79/download/historico-comercio-internacional-neto-cuajimalpa-de-morelos.csv
comercio internacional neto de cuauhtemoc,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:57:53.649910,2024-07-30 23:32:31.204616,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/cuauhtemoc-9015#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/70d2b98f-0ccd-4cf1-92e1-5a286696f7a4/resource/cf38702c-19c7-44c6-8722-43e89981b8d0/download/historico-comercio-internacional-neto-cuauhtemoc.csv
comercio internacional neto de gustavo a. madero,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:00:39.461670,2024-07-30 23:32:35.344228,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/gustavo-a-madero#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/32251c64-6527-4d9e-a42a-5dcde3ac3305/resource/98326fcb-aaf8-4f73-9207-641dc5b1876a/download/historico-comercio-internacional-neto-gustavo-a-madero.csv
comercio internacional neto de iztacalco,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:58:56.295041,2024-07-30 23:32:21.726823,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/iztacalco#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/26420cb1-26a1-4f2b-8298-6dd399d871d7/resource/7d3ca054-3120-43c7-9413-7e9cac4860fa/download/historico-comercio-internacional-neto-iztacalco.csv
comercio internacional neto de iztapalapa,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:58:46.015988,2024-07-30 23:32:22.116746,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/iztapalapa#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/a21e7c70-9779-4314-8f7b-f1d3fa0f7249/resource/f924204e-9f49-47da-92a9-1ead96a939b6/download/historico-comercio-internacional-neto-iztapalapa.csv
comercio internacional neto de magdalena contreras,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:01:10.965558,2024-07-30 23:32:33.552708,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/la-magdalena-contreras#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/b66db167-9469-4242-a8e3-9592d784fe95/resource/b9f020b0-04bd-4cdd-967f-b97956f6e59e/download/historico-comercio-internacional-neto-la-magdalena-contreras.csv
comercio internacional neto de miguel hidalgo,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:00:09.518035,2024-07-30 23:32:36.593674,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/miguel-hidalgo#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/7d286043-0809-4c5c-a505-ed68580d4655/resource/5bccb9c1-954f-46e5-b523-0ba96798caf4/download/historico-comercio-internacional-neto-miguel-hidalgo.csv
comercio internacional neto de milpa alta,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:00:58.944913,2024-07-30 23:32:34.179613,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/milpa-alta#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/b7f600eb-dba0-44b1-857d-5441d830f899/resource/62cf2fea-be71-4c23-aba1-e7ec61b66722/download/historico-comercio-internacional-neto-milpa-alta.csv
comercio internacional neto de tlahuac,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:58:31.931675,2024-07-30 23:32:22.698029,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/tlahuac#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/1cc057f6-87e8-416d-a546-38941ac5ba57/resource/f678792e-dc1d-44ea-87fe-8fca8f9ade58/download/historico-comercio-internacional-neto-tlahuac.csv
comercio internacional neto de tlalpan,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:58:21.579862,2024-07-30 23:33:00.009656,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/tlalpan#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/2b5fba84-6909-47fa-9b7e-1015c934c9c7/resource/823580d6-21a7-4044-8bd6-42ee06988156/download/historico-comercio-internacional-neto-tlalpan.csv
comercio internacional neto de venustiano carranza,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 19:00:48.503711,2024-07-30 23:32:34.744282,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/venustiano-carranza-9017#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/2088a60e-19f7-4bc0-981c-1bb4a81a7c08/resource/1faa556b-a14d-4324-a49b-18b48e794133/download/historico-comercio-internacional-neto-venustiano-carranza.csv
comercio internacional neto de xochimilco,el balance comercial neto es la diferencia entre las ventas y las compras internacionales.,,millones de dolares,2024-07-30 18:58:08.498280,2024-07-30 23:32:30.324758,no vinculado,trabajo decente y crecimiento economico,visor alcaldias,mensual,,economia,data mexico,https://www.economia.gob.mx/datamexico/es/profile/geo/xochimilco#economia-comercio-internacional,https://indicadores.cdmx.gob.mx/dataset/9ebce67f-31b4-4118-b1f6-cde14688af57/resource/e0510e88-5f36-45df-b41d-23a9fada0f02/download/historico-comercio-internacional-neto-xochimilco.csv
gasto ejercido en la compra de bienes inmuebles (terrenos) de las entidades de la ciudad de mexico,gasto por concepto de compra de bienes inmuebles (terrenos) en en la cuenta publica. incluye gobierno central y alcaldias.,ascendente,pesos,2023-10-17 19:06:31.506308,2024-07-20 00:00:44.276786,"derecho a la tierra, al territorio y a los recursos naturales","paz, justicia e instituciones solidas",pgot,anual,eficacia,saf,secretaria de administracion y finanzas,http://www.finanzas.cdmx.gob.mx/servicios/servicio/proyecto-paquete-economico,https://indicadores.cdmx.gob.mx/dataset/4f20fd60-a1bf-48c2-9df4-ec8befc69248/resource/6b865f73-8b37-4360-9fc0-d5a2e11d2b56/download/historico-gasto-por-concepto-de-compra-de-bienes-inmuebles-terrenos-en-el-presupuesto-de-egreso-.csv
consultorios de especialidad en alvaro obregon,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:13:26.580839,2024-07-19 20:42:49.610292,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/e31e445b-b2b6-4d72-a6e2-ede4423b9358/resource/603195a1-c70a-4cc1-b673-a2db88700a89/download/historicodetalle-consultorios-especialidad-alvaro-obregon.csv
consultorios de especialidad en azcapotzalco,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 18:38:04.154514,2024-07-19 20:42:24.560721,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/473dc95a-1714-4b1c-b46d-11ba9d399c1c/resource/614f5164-6a33-48f7-8568-0296251eb00c/download/historicodetalle-consultorios-especialidad-azcapotzalco.csv
consultorios de especialidad en benito juarez,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:15:01.297161,2024-07-19 20:42:35.952886,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/2382d242-1c2b-4c44-9fbb-d40fda3c1c99/resource/ddae36e4-509d-40d2-b4a5-56873554183c/download/historicodetalle-consultorios-especialidad-benito-juarez.csv
consultorios de especialidad en coyoacan,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 18:43:58.499121,2024-07-19 20:42:13.049707,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/3527b779-060e-4648-9e27-c59569daf1b4/resource/83639a1b-bb0e-4907-b750-d3d92e82b31d/download/historicodetalle-consultorios-especialidad-coyoacan.csv
consultorios de especialidad en cuajimalpa,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 18:48:28.954315,2024-07-19 20:41:59.032525,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/d3b1c3c4-c304-4663-92c5-0b9de5e90fea/resource/afc718f4-facd-4b62-a2a3-04176a4b1e66/download/historicodetalle-consultorios-especialidad-cuajimalpa-de-morelos.csv
consultorios de especialidad en cuauhtemoc,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:19:06.760980,2024-07-19 20:40:09.956730,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/77d97996-5976-4b65-9802-3c031f0afb21/resource/53783d3f-ce85-4ed1-a506-673f60250d86/download/historicodetalle-consultorios-especialidad-cuauhtemoc.csv
consultorios de especialidad en gustavo a. madero,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 18:52:10.982486,2024-07-19 20:44:03.180607,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/3fe0d267-fff4-4203-9993-6a1af322d19d/resource/2a61fc29-3051-419d-ac9e-0a0e8fab858e/download/historicodetalle-consultorios-especialidad-gustavo-a.-madero.csv
consultorios de especialidad en iztacalco,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 18:57:14.028724,2024-07-19 20:41:39.288153,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/4fc826e8-fcff-44cd-b7f5-052c883c59d8/resource/af963be4-c2a7-47a8-98ee-2b1e9fc2b72a/download/historicodetalle-consultorios-especialidad-iztacalco.csv
consultorios de especialidad en iztapalapa,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:01:06.212974,2024-07-19 20:41:27.040182,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/460b59bb-2002-44da-9f74-24f24dffaf99/resource/980a8eda-4fc0-4b5f-95dd-28463d960296/download/historicodetalle-consultorios-especialidad-iztapalapa.csv
consultorios de especialidad en magdalena contreras,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:04:46.367389,2024-07-19 20:43:19.242856,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/081185d3-9908-4c5a-9c1a-e40cf5325a77/resource/9c14dfbf-3124-4a4a-a127-a646c7caf5f3/download/historicodetalle-consultorios-especialidad-la-magdalena-contreras.csv
consultorios de especialidad en miguel hidalgo,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:30:03.842968,2024-07-19 20:43:32.202029,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/6b26ed0b-9997-4405-a73c-b70816d0ffb9/resource/1e505815-d969-46f6-bd68-706eabe22ec8/download/historicodetalle-consultorios-especialidad-miguel-hidalgo.csv
consultorios de especialidad en milpa alta,"consultorios medicos publicos, sociales o privados que tienen como fin prestar atencion medica especializada a traves de personal medico que cuenta con alguna especialidad.",,numero,2023-12-06 19:08:18.425206,2024-07-19 20:43:02.992370,derecho a la salud,salud y bienestar,visor alcaldias,anual,,salud,"salud, dgis",https://www.gob.mx/salud/acciones-y-programas/direccion-general-de-informacion-en-salud-dgis,https://indicadores.cdmx.gob.mx/dataset/bdf5db8e-c160-490a-92c5-8e4661da5578/resource/b64cb9aa-bd13-46b2-a562-33787f408397/download/historicodetalle-consultorios-especialidad-milpa-alta.csv
